Ticker,Company Name,Sector,Industry,Country,Currency,P/E Ratio (Trailing),P/E Ratio (Forward),Price-to-Book Ratio,Price-to-Sales Ratio,Enterprise Value,EV/EBITDA,EV/Revenue,Profit Margin,Operating Margin,Gross Margin,Return on Equity (ROE),Return on Assets (ROA),Debt-to-Equity Ratio,Current Ratio,Quick Ratio,Revenue (TTM),EPS (Trailing),EPS (Forward),Revenue Growth (YoY),Earnings Growth (YoY),Dividend Yield,Dividend Rate,Payout Ratio,Market Cap,Beta,52-Week High,52-Week Low,Average Volume,Shares Outstanding,Float Shares,Short Ratio,Book Value Per Share,Total Assets,Total Liabilities,Free Cash Flow,EBITDA,Target Price (Analyst),Recommendation Rating,Number of Analysts,Institutional Ownership (%),Insider Ownership (%),Historical Volatility (1Y),Target High Price,Target Low Price,50-Day Moving Average,200-Day Moving Average,Website
AMT,American Tower Corporation,Real Estate,REIT - Specialty,United States,USD,36.511192,28.821796,24.678436,8.931802,141802291200.0,21.403,13.821,0.12601,0.45655,0.74371004,0.24281,0.04538,431.469,0.614,0.534,10259600384.0,5.36,6.79,0.032,-0.595,3.46,6.8,1.2411,91636719616.0,0.874,243.56,172.51,2201459.0,468251008.0,466907344.0,2.44,7.93,61077400000.0,51428700000.0,3700500000.0,6625500160.0,249.21053,1.7619,19.0,0.95347,0.00154,0.26525069304708987,281.0,217.0,214.8246,206.51125,https://www.americantower.com
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,United States,USD,25.494587,24.77895,2.579632,5.5758367,42347368448.0,15.878,8.569,0.21914,0.38636002,0.60279,0.10396,0.03499,141.097,0.351,0.265,4942000128.0,5.54,5.7,0.111,0.042,2.35,3.31,0.56259996,27555784704.0,0.682,155.5,118.74,1267162.0,195099008.0,194645937.0,5.26,54.752,32830000000.0,22498000000.0,-963000000.0,2667000064.0,141.6,2.92308,10.0,0.95282996,0.0014200001,0.2369011548437295,159.0,116.0,142.424,137.7539,https://www.amwater.com
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,United States,USD,15.938336,13.248252,7.944181,2.6538131,43143536640.0,,2.373,0.17739001,0.36303002,0.56463003,0.58239,0.022,57.793,2.496,1.701,18179999744.0,32.11,38.63,0.022,0.338,1.26,6.4,0.1882,48246321152.0,1.266,582.05,396.14,432170.0,94271600.0,93906734.0,4.48,64.422,181403000000.0,176175000000.0,6419000000.0,,558.9,,10.0,0.87704,0.00191,0.294415314887162,650.0,434.0,521.082,518.91895,https://www.ameriprise.com
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,United States,USD,29.966183,25.49178,4.136988,6.1571693,44155351040.0,20.03,6.326,0.20596,0.25483,0.35705003,0.14639,0.07501,21.164,1.633,0.964,6980192768.0,6.21,7.3,0.025,0.069,0.67,1.24,0.19,42978230272.0,1.1,198.33,145.02,1318256.0,230954000.0,229681404.0,1.72,44.982,14631169000.0,4975865000.0,1701773000.0,2204409088.0,204.875,1.70588,16.0,0.9007,0.00361,0.22771919236356478,225.0,168.0,182.1454,180.25005,https://www.ametek.com
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,United States,USD,23.040066,13.632318,20.42032,4.3445783,200990015488.0,12.447,5.756,0.18956,0.32727,0.69359,0.99139,0.07507,756.651,1.306,0.817,34916999168.0,12.23,20.67,0.094,0.92,3.35,9.52,0.7572,151699636224.0,0.477,339.17,253.3,2237619.0,538361984.0,536994412.0,5.23,13.799,91839000000.0,85962000000.0,10394000000.0,16147999744.0,311.8846,2.41935,26.0,0.84081,0.00214,0.26687913353790854,405.0,180.0,293.1336,288.18774,https://www.amgen.com
APH,Amphenol Corporation,Technology,Electronic Components,United States,USD,44.60359,51.831017,11.858384,7.263689,140060164096.0,26.846,7.443,0.16896999,0.25621998,0.35237,0.31049,0.12502,69.505,2.016,1.338,18818000896.0,2.51,2.16,0.565,1.098,0.6,0.66,0.2629,136688107520.0,1.157,112.39,56.45,8408650.0,1220920064.0,1213021751.0,1.81,9.441,21440200000.0,11584100000.0,2149300000.0,5217099776.0,115.375,2.0,16.0,0.96933997,0.00562,0.344617799569885,127.0,85.0,104.7344,81.5072,https://www.amphenol.com
ADI,"Analog Devices, Inc.",Technology,Semiconductors,United States,USD,62.124367,32.462864,3.5327482,11.593165,125544423424.0,27.017,12.087,0.18847999,0.28551,0.60151,0.05652,0.03387,25.541,2.324,1.686,10386794496.0,3.94,7.54,0.246,0.316,1.62,3.96,0.97199994,120415830016.0,1.085,258.13,158.65,3571011.0,491955008.0,490007292.0,2.07,69.286,48228277000.0,13051960000.0,3122066000.0,4646811136.0,267.46875,1.74286,32.0,0.94623,0.0026,0.39316558871466567,310.0,155.0,237.5982,218.3804,https://www.analog.com
ANSS,"ANSYS, Inc.",Technology,Software - Application,United States,USD,55.534126,29.581144,5.3250813,12.739367,29910253568.0,34.065,11.579,0.22948,0.116639994,0.92481005,0.102299996,0.06059,13.932,3.657,3.56,2583095040.0,6.74,11.01,0.082,0.477,,,0.0,32906993664.0,1.189,395.485,275.06,1173731.0,87916096.0,87469529.0,2.97,70.29,8051431000.0,1964991000.0,751695000.0,878038976.0,351.0,3.5,2.0,0.94917,0.0053,0.2647233992721601,360.0,342.0,348.3044,335.9997,https://www.ansys.com
AON,Aon plc,Financial Services,Insurance Brokers,Ireland,USD,31.397133,21.412882,10.240917,4.793041,97839349760.0,18.419,5.84,0.15538,0.23080999,0.46574003,0.37410998,0.052589998,224.725,1.028,0.23,16752000000.0,11.86,17.39,0.105,0.081,0.8,2.98,0.2334,80293027840.0,0.872,412.97,323.73,1347603.0,215627008.0,208700671.0,1.5,36.361,48965000000.0,42535000000.0,2817000000.0,5312000000.0,411.82843,2.1,19.0,0.90341,0.03041,0.21393222081651225,451.0,349.0,361.6324,370.30685,https://www.aon.com
APA,APA Corporation,Energy,Oil & Gas E&P,United States,USD,8.046712,8.456364,1.4129047,0.8486651,13566597120.0,2.319,1.384,0.11026,0.37546003,0.6631,0.20436001,0.07002,67.565,0.805,0.604,9804000256.0,2.89,2.75,-0.136,0.145,4.41,1.0,0.346,8320312832.0,1.298,27.48,13.58,7426156.0,357785984.0,355790012.0,6.13,16.459,19390000000.0,13028000000.0,709000000.0,5850999808.0,24.10714,2.96552,28.0,0.96241,0.00463,0.5277780249674318,35.0,16.0,19.8956,20.13735,https://www.apacorp.com
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,United States,USD,24.998135,15.800709,4.2763224,3.0503402,98694905856.0,,3.928,0.13408,0.15245,0.41414002,0.16735001,0.0136,102.676,1.708,1.634,25127000064.0,5.36,8.48,0.131,-0.267,1.54,2.04,0.354,76645900288.0,1.677,189.49,102.58,3016896.0,572027008.0,447874052.0,9.64,31.333,377895000000.0,346915000000.0,3253000000.0,,162.48125,1.73684,16.0,0.63778996,0.27018,0.4219008317520594,178.0,117.7,142.8434,147.72795,https://www.apollo.com/institutional/homepage
AAPL,Apple Inc.,Technology,Consumer Electronics,United States,USD,36.101826,28.58604,53.61092,8.627316,3585313865728.0,25.303,8.774,0.24295999,0.29990998,0.46678,1.49814,0.24545999,154.486,0.868,0.724,408624988160.0,6.58,8.31,0.096,0.121,0.44,1.04,0.1533,3525337153536.0,1.109,260.1,169.21,54570856.0,14840399872.0,14814419318.0,2.08,4.431,364980000000.0,308030000000.0,108807000000.0,141696008192.0,235.52553,1.93333,38.0,0.63655996,0.0197,0.3217965153294191,300.0,175.0,216.8614,221.26555,https://www.apple.com
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,United States,USD,18.890215,16.33643,6.465711,4.4073825,124223381504.0,13.72,4.342,0.23877001,0.30581,0.48501998,0.35634997,0.15884,34.67,2.501,1.622,28612999168.0,8.38,9.69,0.077,0.083,1.18,1.84,0.1981,126108426240.0,1.762,215.7,123.74,7163701.0,796641984.0,793551454.0,2.22,24.483,34409000000.0,15408000000.0,7487000000.0,9054000128.0,194.58064,1.78378,31.0,0.83112997,0.0027599998,0.45144044054624516,240.0,160.0,181.1722,168.60526,https://www.appliedmaterials.com
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Switzerland,USD,18.070135,11.442694,1.7948718,0.878675,24525213696.0,7.828,1.239,0.05118,0.11002,0.19193001,0.094639994,0.05565,83.689,1.762,1.2,19793999872.0,4.42,6.98,0.031,-0.481,,,0.0,17392492544.0,1.485,81.13,47.19,2507193.0,217760000.0,215244685.0,2.02,44.499,23458000000.0,14373000000.0,1616000000.0,3132999936.0,85.0,2.04762,16.0,1.02584,0.00493,0.3986699135378076,97.0,60.0,71.5328,63.75785,https://www.aptiv.com
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,9.602379,10.271571,1.563005,1.8091116,34249164800.0,7.348,1.788,0.19493,0.29829,0.33828,0.17087,0.03793,11.84,0.584,0.291,19156000768.0,9.67,9.04,0.233,-0.021,,,0.0,34655342592.0,0.488,116.47,82.49,2225669.0,373220000.0,358652807.0,2.32,59.408,70906000000.0,50086000000.0,6622000000.0,4661000192.0,108.3125,2.0,16.0,0.92066,0.031,0.2667943654024516,125.0,93.0,89.6384,92.243,https://www.archgroup.com
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,United States,USD,26.95,12.225838,1.3264782,0.359785,39462268928.0,15.266,0.477,0.01328,0.02169,0.0637,0.0482,0.01816,46.798,1.423,0.363,82775998464.0,2.3,5.07,-0.049,-0.541,3.31,2.04,0.8783,29781561344.0,0.671,64.38,40.98,3691841.0,480464000.0,474891095.0,2.48,46.729,53271000000.0,30840000000.0,1227000000.0,2584999936.0,58.3,,10.0,0.84290004,0.00611,0.2816541717805132,70.0,54.0,56.877,51.09425,https://www.adm.com
ANET,Arista Networks Inc,Technology,Computer Hardware,United States,USD,55.04094,14.481481,16.302767,22.273956,163823763456.0,47.202,20.604,0.40895,0.4473,0.64236,0.33638,0.15227,,3.333,2.584,7950945792.0,2.56,9.73,0.304,0.346,,,0.0,177099014144.0,1.496,142.46,59.43,9212166.0,1256870016.0,1036222663.0,1.33,8.643,14043921000.0,4049114000.0,3676203000.0,3470673920.0,140.2503,1.57143,24.0,0.6904,0.18004,0.546650263896911,160.0,103.0,119.8662,102.129135,https://www.arista.com
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,United States,USD,45.75982,26.855497,3.3736107,6.72294,76974776320.0,23.489,6.664,0.14207,0.17899,0.43729,0.09507,0.0211,58.011,1.36,0.448,11551500288.0,6.62,11.28,0.117,0.102,0.86,2.6,0.3782,77660045312.0,0.725,351.23,274.25,1510188.0,256363008.0,253464220.0,2.32,89.794,64255200000.0,44075600000.0,2441000000.0,3276999936.0,337.0,2.0,15.0,0.91178,0.00925,0.2321234332889995,388.0,267.0,304.0744,313.46375,https://www.ajg.com
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,United States,USD,15.642753,12.046317,1.9838439,0.8852268,11124580352.0,9.084,0.904,0.05827,0.09996,0.1026,0.13654,0.0178,37.909,0.407,0.136,12304900096.0,13.8,17.92,0.08,0.274,1.49,3.2,0.22629999,10892626944.0,0.547,230.55,174.97,418667.0,50459200.0,50117098.0,1.77,108.814,35020600000.0,29913900000.0,1111400000.0,1224700032.0,241.0,,6.0,0.96497,0.0060799997,0.27568625602181257,255.0,230.0,198.7898,204.44044,https://www.assurant.com
T,AT&T Inc.,Communication Services,Telecom Services,United States,USD,16.877142,13.185267,2.0091836,1.7033387,367242182656.0,8.232,2.962,0.10288999,0.22725001,0.59666,0.11529,0.04167,123.191,0.809,0.506,123984003072.0,1.75,2.24,0.035,0.263,3.82,1.11,0.6343,211186761728.0,0.639,29.65,20.52,31237706.0,7150389760.0,7136442228.0,2.65,14.7,394795000000.0,274570000000.0,18508000000.0,44610998272.0,30.6248,1.96296,25.0,0.66661,0.00084,0.22511773892828155,34.0,21.87,28.1436,26.21715,https://www.att.com
